@ HyperIMU - ianovir
@ Date:Thu Jun 11 17:08:32 GMT+02:00 2020, Sampling Rate:20ms

timestamp,Samsung_Rotation_Vector.x,Samsung_Rotation_Vector.y,Samsung_Rotation_Vector.z,Linear_Acceleration_Sensor.x,Linear_Acceleration_Sensor.y,Linear_Acceleration_Sensor.z
1591888130088,0.021582,0.719366,-0.686358,0.54638207,-7.410019,8.241258
1591888130110,0.029771,0.732072,-0.67245,-0.6973156,-7.2281237,-0.47505993
1591888130131,0.050321,0.723183,-0.68208,-1.3800066,-2.6454134,-6.5744357
1591888130155,0.067286,0.712359,-0.694275,-3.9060354,-4.2600546,-4.012422
1591888130182,0.080449,0.703678,-0.703467,-7.677184,-9.940895,-0.92804027
1591888130214,0.092025,0.680195,-0.725763,-5.946408,-8.6071005,-2.819174
1591888130235,0.103586,0.664436,-0.739617,-3.6019135,-4.210884,-1.1600806
1591888130253,0.112755,0.650918,-0.75066,-3.6420064,-2.6064854,-0.41883087
1591888130272,-0.120524,-0.640784,0.758193,-1.8080742,-1.1511717,-4.3343906
1591888130299,-0.139066,-0.642294,0.753433,1.2972796,0.9015646,-2.973724
1591888130316,-0.147321,-0.646325,0.74819,1.8531425,2.0801673,-2.2077527
1591888130337,-0.169781,-0.661499,0.728924,1.8581773,6.8669224,-1.1377339
1591888130358,-0.175365,-0.667111,0.722089,1.3680906,8.224391,-0.83397996
1591888130384,-0.187349,-0.68343,0.702786,-0.22431171,10.040527,-0.0075962283
1591888130414,-0.195112,-0.696195,0.687706,-1.3933576,10.034105,0.6402596
1591888130434,-0.203813,-0.702634,0.678478,-1.2076685,10.3704,1.007104
1591888130457,-0.221971,-0.709851,0.665277,1.1295892,10.144586,1.2605147
1591888130478,-0.236424,-0.714478,0.655249,1.2796913,9.693576,1.1988822
1591888130498,-0.257114,-0.719713,0.640734,-6.3991547E-4,6.959764,0.9909427
1591888130523,-0.287497,-0.725142,0.61955,-7.310063,1.5814238,3.6122084
1591888130544,-0.331143,-0.723612,0.598424,-10.103716,-3.3374777,6.767932
1591888130565,-0.385581,-0.70746,0.585709,-1.9390552,-11.449849,9.047922
1591888130586,-0.430447,-0.672311,0.598371,-3.8072,-18.708294,-15.388919
