@ HyperIMU - ianovir
@ Date:Thu May 21 15:07:17 GMT+02:00 2020, Sampling Rate:20ms
@ chris dancing, Ed Sheeran - Shape of You

timestamp,accelerometer_lsm6ds3_c.x,accelerometer_lsm6ds3_c.y,accelerometer_lsm6ds3_c.z,als_B.x,als_B.y,als_B.z,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
1590066443284,0.26969245,-9.983352,-1.239756,0.0,0.0,2.0,0.7163,-0.3848,-2.0046,-0.164012,-0.665126,0.715442
1590066443304,0.17441282,-9.161949,-0.7082815,0.0,0.0,2.0,0.7223,0.4249,-1.3564999,-0.159755,-0.668815,0.713574
1590066443324,-0.69978684,-8.71363,-0.6041146,0.0,0.0,2.0,0.0321,1.0489,-0.96019995,-0.157789,-0.672415,0.710666
1590066443346,-1.5266292,-8.811907,-1.3877176,0.0,0.0,2.0,-1.0328,1.0156,-1.4794999,-0.156056,-0.676542,0.707133
1590066443365,-1.3876601,-9.211518,-2.278265,0.0,0.0,2.0,-1.0897,0.6968,-2.3023,-0.152572,-0.682153,0.703153
1590066443386,-1.2143008,-9.552023,-2.097263,0.0,0.0,2.0,-0.877,0.3173,-2.1633,-0.145715,-0.690264,0.698217
1590066443408,-1.2484325,-9.16643,-1.423669,0.0,0.0,2.0,-0.8831,0.4136,-1.6133,-0.137997,-0.700856,0.690949
1590066443429,-1.5727894,-8.589553,0.122544825,0.0,0.0,2.0,-1.0807999,0.96159995,-0.1997,-0.132861,-0.712856,0.680936
1590066443450,-1.1861833,-7.780409,2.709432,0.0,0.0,2.0,-1.0782,1.6357,2.1632,-0.132229,-0.724437,0.669404
1590066443472,-1.5630498,-7.7521763,3.2749135,0.0,0.0,2.0,-0.9148,2.1087,4.3894997,-0.136411,-0.733276,0.658727
1590066443491,-2.7427592,-8.487234,1.6974794,0.0,0.0,2.0,-1.601,1.7344999,3.9204998,-0.142021,-0.73838997,0.651141
1590066443512,-3.6654942,-10.252968,0.94970316,0.0,0.0,2.0,-3.3945,-0.4057,2.5574,-0.145924,-0.745385,0.641939
1590066443533,-2.2304766,-12.3300905,-1.5172822,0.0,0.0,2.0,-2.2800999,-2.1487,0.5639,-0.145242,-0.750769,0.636665
1590066443553,-0.68872565,-13.142137,-0.9714138,0.0,0.0,2.0,-0.69479996,-3.4082,0.3157,-0.142348,-0.755205,0.633459
1590066443574,0.36473268,-12.847191,0.60965955,0.0,0.0,2.0,0.6943,-3.3207998,2.1911,-0.139973,-0.75672,0.633342
1590066443595,0.69160825,-12.602263,1.2161778,0.0,0.0,2.0,1.1638,-3.0237,2.8195,-0.140162,-0.75373,0.637196
1590066443617,1.10343,-12.156281,0.65986115,0.0,0.0,2.0,1.5795,-2.6722999,2.3918998,-0.141591,-0.747601,0.643874
1590066443636,1.4720318,-10.861018,0.67974263,0.0,0.0,2.0,1.9454999,-1.6473,1.8923999,-0.140881,-0.73969,0.652884
1590066443657,1.5801444,-9.012312,0.8644888,0.0,0.0,2.0,2.2129,0.1933,1.8196,-0.136595,-0.730149,0.66444397
1590066443678,0.70221937,-6.8447833,1.1665317,0.0,0.0,2.0,1.7628,2.0098,1.7967,-0.129988,-0.718827,0.678099
1590066443700,-0.80924016,-5.3192363,0.1163582,0.0,0.0,2.0,-0.0964,4.3493,0.3497,-0.11913,-0.699385,0.70013
1590066443721,-1.7879994,-5.6912956,-0.39079118,0.0,0.0,2.0,-1.0949,4.297,-0.61509997,-0.113871,-0.686417,0.713656
1590066443743,-2.1200752,-7.3994813,-0.2497727,0.0,0.0,2.0,-1.5761,2.8293,-0.99369997,-0.109085,-0.674118,0.726026
1590066443760,-2.306871,-9.3687315,-0.3249123,0.0,0.0,2.0,-1.8217,0.7456,-1.229,-0.105105996,-0.663543,0.73643297
1590066443781,-2.466296,-10.975269,-0.43684605,0.0,0.0,2.0,-1.8669,-0.94329995,-1.3614,-0.103389,-0.656425,0.743218
1590066443802,-4.280928,-13.619254,-7.941826,0.0,0.0,2.0,-3.2487998,-3.0435998,-6.2183,-0.103152,-0.653309,0.746176
1590066443823,-0.7177051,-14.01808,-7.408656,0.0,0.0,2.0,-2.2709,-5.2228,-11.9002,-0.094263,-0.654116,0.747644
1590066443844,2.2019665,-11.144875,0.75230604,0.0,0.0,2.0,2.0245,-2.4654,-3.672,-0.074292,-0.660497,0.746008
1590066443866,2.5691893,-9.029559,4.4641137,0.0,0.0,2.0,3.3127,0.0713,3.1984,-0.069906,-0.667971,0.740238
1590066443887,0.6821368,-8.378672,3.4785645,0.0,0.0,2.0,2.5513,1.4081,3.4959998,-0.094589,-0.672534,0.732182
1590066443909,-1.0671724,-8.858642,2.2556446,0.0,0.0,2.0,-0.3145,0.8526,1.833,-0.142827,-0.672727,0.71916
1590066443931,-2.5780475,-7.977892,1.8821394,0.0,0.0,2.0,-1.5137999,1.7124,1.6026,-0.156725,-0.67242,0.714003
1590066443950,-2.9283288,-8.451198,-2.8932204,0.0,0.0,2.0,-2.3075,1.6103,-1.2048,-0.154321,-0.673611,0.712928
1590066443973,-2.570166,-9.085957,-5.4346557,0.0,0.0,2.0,-2.2849,0.76949996,-6.2971,-0.142786,-0.67568,0.714655
1590066443992,-2.0803027,-9.051289,-2.2924674,0.0,0.0,2.0,-1.5749999,0.7066,-3.4429998,-0.130526,-0.682215,0.712606
1590066444013,-1.1355028,-8.314929,-1.384605,0.0,0.0,2.0,-1.0531,1.2219,-1.7541,-0.134262,-0.692485,0.702004
1590066444034,-0.12160629,-7.544867,1.0061105,0.0,0.0,2.0,0.1621,2.0678,0.4799,-0.157839,-0.70218,0.68468
1590066444055,0.994197,-7.0099735,2.2967672,0.0,0.0,2.0,1.441,2.8146,3.2805,-0.190789,-0.707009,0.665812
1590066444076,-2.1038136,-7.9715614,1.4619187,0.0,0.0,2.0,0.016099999,2.2970998,1.9188,-0.227121,-0.705514,0.64707
