@ HyperIMU - ianovir
@ Date:Thu Jun 11 21:28:41 GMT+02:00 2020, Sampling Rate:20ms

linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
-3.7975998,-6.5629,-4.5706997,-0.482711,-0.668912,0.281381
-8.9018,-2.9838,-0.98179996,-0.482898,-0.671004,0.308911
-12.1179,-0.0752,0.9853,-0.484346,-0.671301,0.342567
-9.7792,3.0835,2.5024998,-0.488938,-0.666734,0.373687
-5.3478,4.7615,1.9782,-0.494329,-0.659167,0.401043
1.6406,5.6029,3.7673,-0.497007,-0.652352,0.416169
6.5306997,8.972799,9.7513,-0.4821,-0.637383,0.432976
7.2535,12.4944,6.9558,-0.467087,-0.634017,0.439938
7.9062996,9.5734,-0.212,-0.446364,-0.64066,0.441253
-1.1036999,-1.3666999,4.1439,-0.43317,-0.636901,0.454765
-13.3399,-6.2419996,5.8922997,-0.429629,-0.625574,0.46759298
-17.3556,-11.1426,-3.7542,-0.431268,-0.611225,0.470271
-8.6559,-6.3367996,0.5572,-0.436682,-0.602261,0.463699
1.1007999,-5.6624,1.3572999,-0.443106,-0.591915,0.450158
5.5242,-6.1984997,1.8001,-0.458843,-0.57467,0.427675
5.1379,-1.2329,4.2062,-0.474671,-0.55915,0.393604
5.771,4.8567,2.032,-0.482651,-0.561829,0.343322
0.4635,7.1802998,2.5465999,-0.478154,-0.575944,0.309348
-5.4259,7.3904996,5.1328998,-0.485116,-0.568882,0.288311
-9.026299,7.6910996,8.3404,-0.49408498,-0.558681,0.274173
-8.0192995,6.5571,7.2690997,-0.499775,-0.542076,0.274566
-2.2684,-7.6198997,-0.7513,-0.51252,-0.522029,0.255993
3.3286998,-8.3323,-3.7008,-0.51510197,-0.523431,0.246171
-0.1875,-7.5484,0.67359996,-0.519792,-0.526463,0.228236
-2.708,-5.5130997,-0.95839995,-0.528621,-0.5222,0.213896
-4.2005,-4.7932,1.4707999,-0.539718,-0.516426,0.204718
-5.3005,-5.8789997,3.7226,-0.552916,-0.503573,0.197088
-6.0031,-6.4063,5.9642997,-0.563037,-0.484858,0.192951
-4.2285,-4.9298997,4.0271997,-0.571165,-0.456728,0.190787
-0.0084999995,-1.9605,-0.3691,-0.575303,-0.430933,0.193493
4.3389997,2.2614,-3.6367998,-0.570604,-0.434147,0.211383
0.3294,4.2791,-1.5212,-0.57116,-0.445213,0.227762
-0.6911,7.4658,-1.1387,-0.569059,-0.470226,0.248166
-1.3742,9.8682995,-1.26,-0.562082,-0.504796,0.271273
-0.3602,8.340099,-1.3694999,-0.554949,-0.530756,0.287383
1.7335,2.5881,-4.5752997,-0.54831797,-0.545497,0.300575
2.5939,-6.8287,-8.717199,-0.539192,-0.558852,0.31133
-1.0573,-8.000299,-6.8247,-0.532272,-0.571594,0.31515
-3.6715,-1.9781,-0.169,-0.52848,-0.584029,0.316241
-5.7757998,-3.8286,3.8032,-0.517225,-0.608931,0.33204
-5.4275,-9.5408,-1.3505,-0.51313597,-0.616306,0.343733
-8.6284,-5.512,-0.2472,-0.493702,-0.645874,0.367878
-7.1274,-0.6917,4.9098997,-0.481738,-0.660883,0.383884
-5.3657,0.1329,5.15,-0.467701,-0.670326,0.403373
-4.7481,0.7283,1.6653,-0.452159,-0.682245,0.419128
-10.3488,4.2566,4.6674,-0.440249,-0.696889,0.428555
-11.8407,7.5896997,6.4979,-0.43013,-0.705898,0.439766
-9.900499,10.427,4.8016,-0.426716,-0.705146,0.454477
-4.0818,9.9893,3.0124998,-0.43168598,-0.699818,0.467992
0.4958,7.7962,1.6941999,-0.4411,-0.70200497,0.468402
2.5335999,4.0759997,-0.28219998,-0.439508,-0.709185,0.46194
2.2805998,4.7416,0.4588,-0.430829,-0.727173,0.441197
0.34289998,5.2409997,4.4997997,-0.428875,-0.733482,0.43336
-7.7816997,-2.2463999,5.8736,-0.420743,-0.737867,0.433129
-17.7034,-12.4300995,2.0618,-0.421392,-0.733181,0.438629
