@ HyperIMU - ianovir
@ Date:Thu Jun 11 21:33:15 GMT+02:00 2020, Sampling Rate:20ms

linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
4.4398,-8.4327,-5.2149997,0.367874,-0.39784,-0.752906
5.2967997,-9.7088995,-4.4326997,0.36653098,-0.404533,-0.752328
6.178,-10.9775,-0.5143,0.356658,-0.400711,-0.759119
5.0689,-13.0321,0.20719999,0.338432,-0.397533,-0.769284
-2.3439,-9.8196,-2.3902,0.327209,-0.39378,-0.779114
-4.6045,-2.2824,-3.6662,0.329547,-0.399339,-0.776712
-5.9785,12.2914,-8.0397,0.333807,-0.414922,-0.769976
-1.1699,15.6101,-4.7511997,0.3308,-0.425234,-0.766464
15.346299,16.8813,-3.9950998,0.321221,-0.445669,-0.75138
6.7988997,8.726399,-10.9341,0.309411,-0.467201,-0.744773
-2.0705,5.5659,-6.0364,0.311067,-0.476407,-0.742407
-1.3005999,2.6313999,-2.835,0.319218,-0.478069,-0.739556
3.0719,-0.6832,-2.6218998,0.327236,-0.480869,-0.73327
3.9429,-1.5215,-3.2717998,0.33804,-0.484159,-0.723946
2.2163,-2.44,-3.5655,0.345079,-0.49053898,-0.716509
1.3772,-4.7541,-1.4682,0.341816,-0.495277,-0.714304
0.8843,-7.8514,1.5188999,0.315993,-0.480199,-0.730339
1.0301,-8.6747,0.6056,0.308315,-0.480438,-0.7324
1.2046,-8.8397,-4.4771,0.249406,-0.493481,-0.746418
0.4323,-6.9788,-3.8274,0.221539,-0.500774,-0.750955
-1.0222,1.0794,-2.472,0.206522,-0.501805,-0.755955
-6.6429,7.3925996,-8.9333,0.204135,-0.507301,-0.75756
-3.3913,11.4477,-7.3575997,0.199612,-0.519149,-0.755511
5.1671,14.078099,-3.1043,0.192342,-0.53078,-0.748601
-0.6638,8.0199995,-7.5471997,0.187023,-0.540571,-0.746344
-1.6905999,8.1159,-6.3315997,0.192357,-0.542377,-0.747114
-0.5567,5.4851,-4.052,0.198943,-0.541592,-0.747619
0.1383,1.4229,-2.5593,0.20161399,-0.537281,-0.751578
-1.8456,-2.6745,-1.9175999,0.201457,-0.536788,-0.754731
-1.8305,-5.354,-1.9504,0.196631,-0.536087,-0.760416
-0.8397,-7.2929997,-1.9858999,0.18742199,-0.535365,-0.767006
0.3958,-7.5835,-1.0382,0.166048,-0.531498,-0.77617997
0.75699997,-7.8055,-0.72529995,0.133214,-0.526563,-0.787536
0.6987,-8.63,-2.544,0.093005,-0.523103,-0.79845
-0.0289,-7.8993998,-4.3448997,0.050846,-0.525248,-0.804061
0.7662,-2.3143,-6.3546996,0.031093,-0.533882,-0.802114
2.7698998,8.6959,-7.4662,0.029517,-0.537544,-0.800609
4.0127997,13.2772,-9.1805,0.043364,-0.541797,-0.795339
-5.8511,10.4734,-5.1328,0.051437,-0.540509,-0.794693
-7.1285,7.9758997,-6.6172,0.053267,-0.537378,-0.796053
-3.5182,7.5165,-4.2913,0.086541,-0.537782,-0.791922
-4.0271997,5.6801,-4.3658,0.11017,-0.533634,-0.791613
-3.5704,1.411,-3.6297,0.125409,-0.529818,-0.793794
-0.99649996,-2.1711,-4.6018,0.129406,-0.529741,-0.796198
2.0801,-5.4470997,-5.3648996,0.122618,-0.532849,-0.797584
3.8218,-8.5924,-5.1278996,0.110052,-0.530504,-0.80173
3.5056,-10.5546,-3.9083,0.095702,-0.520646,-0.808913
1.1437,-10.1299,-1.5999999,0.080663,-0.499414,-0.821463
-0.61259997,-8.6112995,0.21409999,0.06876,-0.473489,-0.835015
-1.9103999,-6.1748,1.3799,0.056034,-0.452458,-0.84443897
-8.2133,-2.0547,4.8403,0.047036,-0.441109,-0.848205
-7.2539,18.390999,-9.0047,0.04294,-0.450047,-0.842727
-3.1432998,21.1467,2.0107,0.060127,-0.455964,-0.841776
-4.8276997,7.5569,0.7682,0.066947,-0.460096,-0.843915
-5.2960997,8.542,3.6883,0.085374,-0.470386,-0.837157
-6.9052,9.3295,5.4554,0.123033,-0.475409,-0.826875
-5.1355,4.6849,2.6032999,0.158772,-0.478042,-0.81771797
-2.2517,0.3509,-1.2587999,0.179718,-0.47751,-0.813671
-0.4298,-2.9055998,-3.0807998,0.188777,-0.479358,-0.810293
0.99619997,-8.7829,-4.44,0.164266,-0.500635,-0.805044
3.1172,-13.1735,-4.5034,0.137419,-0.505966,-0.80703
4.9403,-15.836499,-7.9634,0.106649,-0.522591,-0.79794
3.5899,-16.5331,-6.812,0.073375,-0.546626,-0.782553
2.2596,-10.563499,-1.299,0.04168,-0.554552,-0.777927
-2.5479,9.380799,8.2504,0.056753,-0.549484,-0.774843
-12.8157,18.7726,-1.4289,0.08964,-0.541394,-0.770935
-10.0387,23.891699,-3.6892998,0.114579,-0.530817,-0.770929
-2.9227998,13.905299,-1.9971999,0.123881,-0.515577,-0.7744
-1.7212,4.525,-0.6085,0.115654,-0.505071,-0.778991
-3.5031,0.8619,-3.9733999,0.106364,-0.510488,-0.778425
-3.6123,-0.348,-5.172,0.102502,-0.517004,-0.777885
-0.9773,-5.3842998,-7.1758,0.100562,-0.519155,-0.778036
1.3721,-8.6377,-7.1408997,0.087643,-0.532196,-0.772213
3.6636999,-12.2153,-6.0403,0.067769,-0.539382,-0.7683
4.7741,-13.823299,-5.9117,0.052457,-0.541141,-0.766671
